,,,,,,,,,,,
Country,Country National wetland policy,Signatory to the Ramsar Convention?,Number of Ramsar- designated Wetlands of International Importance?,Wise use goal?,No net loss/net gain goal?,Biodiversity goal?,Ecosystem services goal?,National wetland inventory?,Compensatory mitigation/ offsetting used?,Use of penalties?,Use of incentives?
Afghanistan,No policy,No,0,No,No,No,No,Yes,No,No,No
Albania,Some types of wetlands are protected under specific laws,Yes,4,No,No,Yes,No,Yes,No,No,Yes
Algeria,"A policy is promised or ""in development""",Yes,50,Yes,No,Yes,Yes,Yes,No,Yes,Yes
Andorra,"A policy is promised or ""in development""",Yes,3,No,No,No,No,Yes,No,No,No
Angola,No policy,No,0,No,No,No,No,No,No,No,No
Antigua and Barbuda,No policy,Yes,1,Yes,No,Yes,No,Yes,No,No,Yes
Argentina,No policy,Yes,21,Yes,No,No,Yes,In progress,No,No,No
Armenia,"A policy is promised or ""in development""",Yes,3,Yes,No,Yes,No,Yes,No,No,No
Australia,Some types of wetlands are protected under specific laws,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Austria,"Integrated wetland strategy or plan, without the force of law",Yes,23,Yes,No,Yes,No,Yes,No,No,Yes
Azerbaijan,A broad environmental policy protects most wetlands indirectly,Yes,2,Yes,No,No,No,In progress,No,No,Yes
Bahamas,A wetland-specific policy is in place to protect all wetlands,Yes,1,Yes,Yes,No,Yes,In progress,No,Yes,Yes
Bahrain,No policy,Yes,2,Yes,No,Yes,No,Yes,No,No,Yes
Bangladesh,A broad environmental policy protects most wetlands indirectly,Yes,2,Yes,No,Yes,Yes,In progress,No,No,Yes
Barbados,No policy,Yes,1,No,No,No,No,In progress,No,No,No
Belarus,"Integrated wetland strategy or plan, without the force of law",Yes,16,Yes,No,Yes,No,In progress,No,No,Yes
Belgium,Some types of wetlands are protected under specific laws,Yes,9,No,No,Yes,Yes,No,No,No,Yes
Belize,"A policy is promised or ""in development""",Yes,2,Yes,No,No,Yes,No,No,No,No
Benin,"A policy is promised or ""in development""",Yes,4,No,No,Yes,Yes,No,No,No,Yes
Bhutan,"A policy is promised or ""in development""",Yes,2,Yes,No,No,No,No,No,No,No
Bolivia,"A policy is promised or ""in development""",Yes,11,No,No,No,No,In progress,No,No,No
Bosnia and Herzegovina,No policy,Yes,3,No,No,No,No,No,No,No,No
Botswana,"A policy is promised or ""in development""",Yes,1,Yes,No,Yes,No,Yes,No,No,No
Brazil,A broad environmental policy protects most wetlands indirectly,Yes,12,Yes,Yes,Yes,Yes,In progress,Yes,No,Yes
Brunei Darussalam,No policy,No,0,No,No,No,No,No,No,No,No
Bulgaria,A broad environmental policy protects most wetlands indirectly,Yes,11,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Burkina Faso,A wetland-specific policy is in place to protect all wetlands,Yes,15,Yes,No,Yes,Yes,In progress,No,No,Yes
Burundi,Some types of wetlands are protected under specific laws,Yes,4,No,No,Yes,No,No,No,No,No
Cabo Verde,"A policy is promised or ""in development""",Yes,4,No,No,Yes,No,In progress,No,No,Yes
Cambodia,Some types of wetlands are protected under specific laws,Yes,3,Yes,No,Yes,Yes,No,No,No,Yes
Cameroon,"A policy is promised or ""in development""",Yes,7,Yes,No,Yes,Yes,Yes,No,No,Yes
Canada,A broad environmental policy protects most wetlands indirectly,Yes,37,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Central African Republic,"A policy is promised or ""in development""",Yes,4,No,No,No,No,In progress,No,No,No
Chad,"A policy is promised or ""in development""",Yes,6,Yes,No,Yes,Yes,In progress,No,No,No
Chile,"Integrated wetland strategy or plan, without the force of law",Yes,12,Yes,No,Yes,Yes,In progress,No,No,Yes
China,"Integrated wetland strategy or plan, without the force of law",Yes,46,Yes,No,Yes,Yes,Yes,No,No,Yes
Colombia,A wetland-specific policy is in place to protect all wetlands,Yes,5,Yes,No,Yes,Yes,In progress,Yes,No,Yes
Comoros,A broad environmental policy protects most wetlands indirectly,Yes,3,No,No,Yes,No,In progress,No,No,No
"Congo, Republic of (Brazzaville)","A policy is promised or ""in development""",Yes,10,No,No,Yes,No,Yes,No,No,No
Costa Rica,A wetland-specific policy is in place to protect all wetlands,Yes,12,Yes,No,Yes,Yes,Yes,No,Yes,Yes
Côte d'Ivoire,Some types of wetlands are protected under specific laws,Yes,6,Yes,No,Yes,Yes,No,No,Yes,No
Croatia,A broad environmental policy protects most wetlands indirectly,Yes,5,Yes,No,Yes,No,Yes,No,Yes,Yes
Cuba,A broad environmental policy protects most wetlands indirectly,Yes,6,Yes,No,Yes,Yes,In progress,No,No,No
Cyprus,No policy,Yes,1,No,No,Yes,Yes,In progress,No,No,Yes
Czech Republic,A broad environmental policy protects most wetlands indirectly,Yes,14,No,No,Yes,Yes,Yes,No,No,No
Democratic People's Republic of Korea (North Korea),No policy,No,0,No,No,No,No,None,No,No,No
Democratic Republic of Congo (Kinshasa),No policy,Yes,3,No,No,No,No,No,No,No,Yes
Denmark,A broad environmental policy protects most wetlands indirectly,Yes,43,Yes,No,Yes,No,Yes,No,Yes,Yes
,,,,,,,,,,,
,,,,,,,,,,,
Djibouti,No policy,Yes,1,No,No,No,No,No,No,No,No
Dominica,A broad environmental policy protects most wetlands indirectly,No,0,Yes,No,Yes,Yes,No,No,Yes,No
Dominican Republic,A broad environmental policy protects most wetlands indirectly,Yes,4,Yes,No,Yes,Yes,In progress,No,Yes,Yes
Ecuador,Some types of wetlands are protected under specific laws,Yes,18,Yes,No,Yes,Yes,Yes,No,No,Yes
"Egypt, Arab Rep.",A broad environmental policy protects most wetlands indirectly,Yes,4,Yes,No,Yes,Yes,In progress,No,Yes,Yes
El Salvador,"Integrated wetland strategy or plan, without the force of law",Yes,7,Yes,No,Yes,Yes,Yes,No,No,Yes
Equatorial Guinea,"A policy is promised or ""in development""",Yes,3,No,No,Yes,No,Yes,No,No,Yes
Eritrea,No policy,No,0,No,No,Yes,No,No,No,No,No
Estonia,A broad environmental policy protects most wetlands indirectly,Yes,17,Yes,No,Yes,No,Yes,No,Yes,Yes
Ethiopia,A broad environmental policy protects most wetlands indirectly,No,0,Yes,No,No,Yes,No,No,No,No
Fiji,A broad environmental policy protects most wetlands indirectly,Yes,1,Yes,No,Yes,Yes,Yes,Yes,Yes,No
Finland,A broad environmental policy protects wetlands indirectly,Yes,49,Yes,Yes,Yes,Yes,No,No,No,Yes
France,A wetland-specific policy is in place,Yes,43,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Gabon,No policy,Yes,9,No,No,Yes,No,No,No,No,No
Gambia,Some types of wetlands are protected under specific laws,Yes,3,Yes,No,Yes,No,Yes,No,No,Yes
Georgia,A broad environmental policy protects most wetlands indirectly,Yes,2,Yes,No,Yes,Yes,No,No,No,No
Germany,A broad environmental policy protects most wetlands indirectly,Yes,34,Yes,No,Yes,Yes,Yes,Yes,No,Yes
Ghana,A wetland-specific policy is in place to protect all wetlands,Yes,6,Yes,No,Yes,Yes,In progress,No,Yes,Yes
Greece,Some types of wetlands are protected under specific laws,Yes,10,Yes,No,Yes,Yes,Yes,No,No,Yes
Grenada,No policy,Yes,1,No,No,No,No,No,No,No,No
Guatemala,A wetland-specific policy is in place to protect all wetlands,Yes,7,Yes,No,Yes,Yes,Yes,No,No,Yes
Guinea,No policy,Yes,16,No,No,No,No,In progress,No,No,No
Guinea-Bissau,No policy,Yes,2,No,No,Yes,No,In progress,No,No,No
Guyana,No policy,No,0,No,No,Yes,No,In progress,No,No,No
Haiti,No policy,No,0,No,No,No,No,No,No,No,No
Honduras,"Integrated wetland strategy or plan, without the force of law",Yes,9,Yes,No,Yes,Yes,Yes,Yes,No,Yes
Hungary,Some types of wetlands are protected under specific laws,Yes,29,Yes,No,Yes,No,In progress,No,No,Yes
Iceland,A broad environmental policy protects most wetlands indirectly,Yes,6,Yes,No,Yes,Yes,In progress,Yes,Yes,No
India,Some types of wetlands are protected under specific laws,Yes,26,Yes,No,Yes,Yes,Yes,No,No,Yes
Indonesia,Some types of wetlands are protected under specific laws,Yes,7,Yes,No,Yes,Yes,Yes,No,No,Yes
"Iran, Islamic Rep.","Integrated wetland strategy or plan, without the force of law",Yes,24,Yes,No,Yes,No,In progress,No,No,No
Iraq,"A policy is promised or ""in development""",Yes,1,No,No,No,No,In progress,No,No,No
Ireland,A broad environmental policy protects most wetlands indirectly,Yes,45,Yes,No,Yes,No,Yes,No,No,Yes
Israel,"A policy is promised or ""in development""",Yes,2,No,No,Yes,No,Yes,No,No,No
Italy,A broad environmental policy protects most wetlands indirectly,Yes,52,No,No,Yes,Yes,Yes,No,No,Yes
Jamaica,"A policy is promised or ""in development""",Yes,4,No,No,Yes,Yes,In progress,No,No,No
Japan,A broad environmental policy protects most wetlands indirectly,Yes,46,Yes,No,Yes,Yes,In progress,No,No,Yes
Jordan,"Integrated wetland strategy or plan, without the force of law",Yes,1,No,No,No,No,No,No,No,No
Kazakhstan,Some types of wetlands are protected under specific laws,Yes,10,No,No,Yes,No,Yes,No,No,No
Kenya,Some types of wetlands are protected under specific laws,Yes,6,Yes,No,Yes,Yes,In progress,No,Yes,Yes
Kiribati,A broad environmental policy protects most wetlands indirectly,Yes,1,No,No,Yes,No,Yes,Yes,No,No
Kuwait,No policy,No,0,No,No,Yes,Yes,Yes,No,No,No
Kyrgyz Republic,"A policy is promised or ""in development""",Yes,3,No,No,Yes,No,No,No,No,No
Lao People's Democratic Republic,A broad environmental policy protects most wetlands indirectly,Yes,2,Yes,No,Yes,Yes,Yes,No,Yes,No
Latvia,"Integrated wetland strategy or plan, without the force of law",Yes,6,No,No,Yes,No,In progress,No,No,Yes
Lebanon,A broad environmental policy protects most wetlands indirectly,Yes,4,No,No,Yes,No,No,No,No,No
Lesotho,A broad environmental policy protects most wetlands indirectly,Yes,1,Yes,No,Yes,Yes,In progress,No,Yes,No
Liberia,Some types of wetlands are protected under specific laws,Yes,5,No,No,Yes,No,No,No,Yes,No
Libya,No policy,Yes,2,No,No,Yes,No,No,No,No,No
Liechtenstein,Some types of wetlands are protected under specific laws,Yes,1,No,No,Yes,No,Yes,No,No,No
Lithuania,"Integrated wetland strategy or plan, without the force of law",Yes,7,Yes,No,Yes,No,Yes,No,Yes,Yes
Luxembourg,A broad environmental policy protects most wetlands indirectly,Yes,2,No,No,Yes,No,Yes,No,No,Yes
Madagascar,"Integrated wetland strategy or plan, without the force of law",Yes,9,Yes,No,Yes,Yes,In progress,No,No,Yes
Malawi,"A policy is promised or ""in development""",Yes,1,Yes,No,Yes,Yes,In progress,No,No,No
Malaysia,A broad environmental policy protects most wetlands indirectly,Yes,6,Yes,No,Yes,Yes,In progress,No,Yes,No
Maldives,"Integrated wetland strategy or plan, without the force of law",No,0,Yes,No,Yes,Yes,In progress,No,No,No
Mali,A wetland-specific policy is in place to protect all wetlands,Yes,4,Yes,No,Yes,Yes,Yes,No,No,Yes
Malta,Some types of wetlands are protected under specific laws,Yes,2,No,No,Yes,No,Yes,No,No,No
Marshall Islands,"A policy is promised or ""in development""",Yes,2,No,No,Yes,No,No,No,No,No
Mauritania,"A policy is promised or ""in development""",Yes,4,Yes,No,Yes,No,In progress,No,No,Yes
Mauritius,Some types of wetlands are protected under specific laws,Yes,3,Yes,No,Yes,Yes,In progress,No,Yes,No
Mexico,A wetland-specific policy is in place to protect all wetlands,Yes,142,Yes,No,Yes,Yes,In progress,No,No,Yes
"Micronesia, Federated States of",No policy,No,0,No,No,Yes,No,In progress,No,No,No
Monaco,A wetland-specific policy is in place to protect all wetlands,Yes,1,No,No,Yes,No,No,No,No,No
Mongolia,A broad environmental policy protects most wetlands indirectly,Yes,11,Yes,No,Yes,Yes,Yes,No,Yes,Yes
Montenegro,"A policy is promised or ""in development""",Yes,2,Yes,No,Yes,Yes,In progress,No,No,Yes
Morocco,A broad environmental policy protects most wetlands indirectly,Yes,24,Yes,No,Yes,Yes,In progress,No,Yes,Yes
Mozambique,A broad environmental policy protects most wetlands indirectly,Yes,2,Yes,No,Yes,Yes,In progress,No,Yes,Yes
Myanmar,"A policy is promised or ""in development""",Yes,1,Yes,No,Yes,No,Yes,No,No,No
,,,,,,,,,,,
,,,,,,,,,,,
Namibia,"A policy is promised or ""in development""",Yes,5,Yes,No,Yes,Yes,Yes,No,No,Yes
Nauru,No policy,No,0,No,No,No,No,No,No,No,No
Nepal,A broad environmental policy protects most wetlands indirectly,Yes,9,Yes,No,Yes,Yes,In progress,No,No,Yes
Netherlands,A broad environmental policy protects most wetlands indirectly,Yes,51,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
New Zealand,A broad environmental policy protects most wetlands indirectly,Yes,6,Yes,Yes,Yes,Yes,In progress,Yes,Yes,Yes
Nicaragua,A wetland-specific policy is in place to protect all wetlands,Yes,9,Yes,No,No,Yes,In progress,No,No,Yes
Niger,"A policy is promised or ""in development""",Yes,12,Yes,No,Yes,No,In progress,No,No,Yes
Nigeria,A broad environmental policy protects most wetlands indirectly,Yes,11,No,No,Yes,No,No,No,No,No
Norway,A broad environmental policy protects most wetlands indirectly,Yes,63,No,No,Yes,Yes,Yes,No,Yes,Yes
Oman,No policy,Yes,1,No,No,No,No,No,No,No,No
Pakistan,"A policy is promised or ""in development""",Yes,19,Yes,No,Yes,Yes,Yes,No,Yes,Yes
Palau,No policy,Yes,1,Yes,No,No,No,In progress,No,No,No
Panama,A broad environmental policy protects most wetlands indirectly,Yes,5,Yes,No,Yes,Yes,In progress,No,Yes,Yes
Papua New Guinea,Some types of wetlands are protected under specific laws,Yes,2,Yes,No,Yes,Yes,No,No,No,No
Paraguay,A broad environmental policy protects most wetlands indirectly,Yes,6,Yes,No,No,Yes,Yes,No,No,Yes
Peru,"Integrated wetland strategy or plan, without the force of law",Yes,13,Yes,No,Yes,No,In progress,No,No,No
Philippines,"Integrated wetland strategy or plan, without the force of law",Yes,6,Yes,No,Yes,Yes,In progress,No,Yes,Yes
Poland,"Integrated wetland strategy or plan, without the force of law",Yes,13,No,No,Yes,No,Yes,No,No,Yes
Portugal,"A policy is promised or ""in development""",Yes,31,No,No,No,No,In progress,No,No,No
Qatar,No policy,No,0,No,No,No,No,No,No,No,No
Republic of Korea (South Korea),A wetland-specific policy is in place to protect all wetlands,Yes,19,Yes,No,Yes,No,Yes,No,Yes,Yes
Republic of Moldova,"A policy is promised or ""in development""",Yes,0,Yes,No,Yes,Yes,In progress,No,No,No
Romania,"Integrated wetland strategy or plan, without the force of law",Yes,19,No,No,Yes,No,In progress,No,No,Yes
Russian Federation,"A policy is promised or ""in development""",Yes,35,Yes,No,Yes,No,In progress,No,No,No
Rwanda,No policy,Yes,1,Yes,No,Yes,Yes,Yes,No,No,Yes
Saint Kitts and Nevis,No policy,No,0,No,No,No,No,No,No,No,No
Saint Lucia,No policy,Yes,2,No,No,No,No,No,No,Yes,No
Saint Vincent and the Grenadines,No policy,No,0,No,No,No,No,No,No,No,No
Samoa,"A policy is promised or ""in development""",Yes,1,Yes,No,No,Yes,Yes,No,No,Yes
San Marino,No policy,No,0,No,No,No,No,Yes,No,No,No
Sao Tome and Principe,No policy,Yes,1,No,No,Yes,No,No,No,No,No
Saudi Arabia,No policy,No,0,Yes,No,No,No,No,No,No,No
Senegal,"Integrated wetland strategy or plan, without the force of law",Yes,5,Yes,No,Yes,No,Yes,No,No,Yes
Serbia,No policy,Yes,10,Yes,No,No,No,No,No,No,No
Seychelles,A wetland-specific policy is in place to protect all wetlands,Yes,3,Yes,No,Yes,Yes,In progress,No,No,No
Sierra Leone,No policy,Yes,1,Yes,No,Yes,Yes,Yes,No,No,Yes
Singapore,No policy,No,0,No,No,No,No,No,No,No,No
Slovak Republic/Slovakia,A wetland-specific policy is in place to protect all wetlands,Yes,14,Yes,No,Yes,Yes,Yes,No,No,Yes
Slovenia,Some types of wetlands are protected under specific laws,Yes,3,Yes,No,Yes,Yes,Yes,No,No,Yes
Solomon Islands,No policy,No,0,No,No,No,No,No,No,No,No
Somalia,No policy,No,0,No,No,Yes,No,No,No,No,No
South Africa,A broad environmental policy protects most wetlands indirectly,Yes,21,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
South Sudan,No policy,Yes,1,Yes,No,Yes,No,No,No,No,No
Spain,Some types of wetlands are protected under specific laws,Yes,74,Yes,No,Yes,Yes,In progress,No,No,Yes
Sri Lanka,"Integrated wetland strategy or plan, without the force of law",Yes,6,Yes,No,Yes,Yes,Yes,No,Yes,Yes
Sudan,No policy,Yes,3,No,No,Yes,No,Yes,No,No,No
Suriname,"A policy is promised or ""in development""",Yes,1,Yes,No,Yes,Yes,No,No,No,No
Swaziland,No policy,Yes,3,No,No,Yes,Yes,No,No,No,No
Sweden,A broad environmental policy protects most wetlands indirectly,Yes,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Switzerland,Some types of wetlands are protected under specific laws,Yes,11,No,No,Yes,Yes,In progress,No,No,Yes
Syrian Arab Republic (Syria),"A policy is promised or ""in development""",Yes,1,Yes,No,No,No,No,No,Yes,No
Tajikistan,"A policy is promised or ""in development""",Yes,5,Yes,No,No,No,No,No,No,No
Thailand,"Integrated wetland strategy or plan, without the force of law",Yes,11,Yes,No,Yes,Yes,Yes,No,No,Yes
The former Yugoslav Republic of Macedonia,"Integrated wetland strategy or plan, without the force of law",Yes,2,No,No,Yes,Yes,Yes,No,No,No
Timor-Leste,"Integrated wetland strategy or plan, without the force of law",No,0,No,No,Yes,No,Yes,No,No,Yes
Togo,No policy,Yes,4,No,No,Yes,No,In progress,No,No,No
Tonga,No policy,No,0,No,No,Yes,No,No,No,No,No
Trinidad and Tobago,A wetland-specific policy is in place to protect all wetlands,Yes,3,Yes,Yes,No,No,Yes,Yes,No,Yes
Tunisia,A broad environmental policy protects most wetlands indirectly,Yes,40,No,No,Yes,No,Yes,No,Yes,Yes
Turkey,A wetland-specific policy is in place to protect all wetlands,Yes,14,Yes,No,Yes,No,In progress,No,No,Yes
Turkmenistan,A broad environmental policy protects most wetlands indirectly,Yes,1,No,No,Yes,No,Yes,No,No,No
Tuvalu,A broad environmental policy protects most wetlands indirectly,No,0,Yes,No,Yes,Yes,Yes,No,Yes,No
Uganda,A wetland-specific policy is in place to protect all wetlands,Yes,12,Yes,No,Yes,Yes,Yes,No,No,Yes
Ukraine,"A policy is promised or ""in development""",Yes,33,Yes,No,Yes,Yes,In progress,No,No,Yes
United Arab Emirates,No policy,Yes,5,Yes,No,Yes,Yes,No,No,No,Yes
United Kingdom of Great Britain and Northern Ireland,A broad environmental policy protects most wetlands indirectly,Yes,170,Yes,Yes,Yes,Yes,In progress,Yes,No,Yes
United Republic of Tanzania,"A policy is promised or ""in development""",Yes,4,Yes,No,No,Yes,No,No,No,Yes
United States of America,A broad environmental policy protects most wetlands indirectly,Yes,36,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Uruguay,A broad environmental policy protects most wetlands indirectly,Yes,2,Yes,No,Yes,No,In progress,No,No,No
Uzbekistan,"Integrated wetland strategy or plan, without the force of law",Yes,2,Yes,No,Yes,No,Yes,No,No,Yes
Vanuatu,A broad environmental policy protects most wetlands indirectly,No,0,Yes,No,No,Yes,In progress,No,Yes,No
Venezuela,A broad environmental policy protects most wetlands indirectly,Yes,5,Yes,No,Yes,Yes,In progress,No,No,Yes
Viet Nam,A broad environmental policy protects most wetlands indirectly,Yes,6,Yes,No,Yes,No,Yes,No,Yes,Yes
Yemen,No policy,Yes,1,Yes,No,Yes,No,No,No,No,No
Zambia,A broad environmental policy protects most wetlands indirectly,Yes,8,Yes,No,Yes,Yes,In progress,No,Yes,Yes
Zimbabwe,A broad environmental policy protects most wetlands indirectly,Yes,7,Yes,No,Yes,Yes,In progress,No,Yes,None
